TSTAMP,EstX,EstY,EstVX,EstVY
1.3998666666666666,[181.11350747],[581.87290772],[-0.40845408],[-0.35306185]
1.4387518518518518,[181.54308525],[581.73204211],[0.19327321],[-0.33344341]
1.477637037037037,[181.42873897],[581.71245485],[0.13376838],[-0.20254649]
1.5165222222222223,[183.19549382],[581.74549337],[1.3243428],[-0.07294249]
1.5554074074074073,[183.89121953],[581.78710413],[1.20492192],[0.01012867]
1.5942925925925926,[182.91101753],[581.81699507],[-0.08004134],[0.0440766]
1.6331777777777778,[182.71527993],[581.12149087],[-0.28834341],[-0.4370088]
1.672062962962963,[182.62473429],[580.84600702],[-0.28784275],[-0.41039273]
1.710948148148148,[181.52238509],[581.15134207],[-0.92861653],[0.02348319]
1.7498333333333334,[179.66424712],[581.68564783],[-1.74852013],[0.42234563]
1.7887185185185186,[178.68573217],[581.90121084],[-1.53046614],[0.39893717]
1.8276037037037038,[179.26500114],[583.71063336],[-0.27395502],[1.43297653]
1.8664888888888889,[184.44526591],[583.30114276],[3.54026653],[0.44468123]
1.905374074074074,[197.82877782],[575.85158146],[11.04078027],[-4.93440384]
1.9442592592592594,[226.29617012],[543.76214082],[24.9031295],[-24.47859966]
1.9831444444444446,[265.87224799],[478.60871671],[39.06971099],[-56.83182206]
2.0220296296296296,[307.89412933],[398.17538182],[46.90224846],[-82.70581392]
2.0609148148148146,[349.11552302],[322.67709468],[48.72101319],[-89.88582761]
2.0998,[387.89581495],[260.91364765],[46.31444348],[-80.61006685]
2.138685185185185,[426.56656718],[214.73017295],[43.65770561],[-62.15115155]
2.1775703703703706,[466.3299778],[182.55516858],[42.22744101],[-41.45428301]
2.2164555555555556,[507.08237443],[163.686518],[41.77281458],[-21.67847492]
2.2553407407407406,[548.70297206],[155.45577147],[41.95259027],[-5.45689632]
2.294225925925926,[591.41968216],[159.1682875],[42.69982762],[8.97367704]
2.333111111111111,[632.35125664],[175.99015098],[41.82152748],[22.91502668]
2.371996296296296,[674.27752016],[205.47844259],[41.93149272],[36.17385016]
2.4108814814814816,[715.96785702],[247.49851332],[41.81869155],[48.92726926]
